id,tipo,descripcion,estado,estudiante_id
6320,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.10 en el II Bimestre.,Pendiente,8995
6321,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.70 en el II Bimestre.,Pendiente,9293
6322,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.25 en el II Bimestre.,Pendiente,9030
6323,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.35 en el II Bimestre.,Pendiente,9234
6324,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.10 en el II Bimestre.,Pendiente,9216
6325,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 9.30 en el II Bimestre.,Pendiente,9337
6326,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 9.70 en el II Bimestre.,Pendiente,9035
6327,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 9.60 en el II Bimestre.,Pendiente,9102
6328,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.10 en el II Bimestre.,Pendiente,9116
6329,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 9.25 en el II Bimestre.,Pendiente,8954
6330,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.90 en el II Bimestre.,Pendiente,8949
6331,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.05 en el II Bimestre.,Pendiente,9106
6332,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 9.60 en el II Bimestre.,Pendiente,9140
6333,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 9.95 en el II Bimestre.,Pendiente,9281
6334,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.45 en el II Bimestre.,Pendiente,9267
6335,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.85 en el II Bimestre.,Pendiente,9103
6336,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.10 en el II Bimestre.,Pendiente,9049
6337,Rendimiento Academico,Rendimiento desaprobatorio en Matematica con promedio de 10.55 en el II Bimestre.,Pendiente,9226
6338,Rendimiento Academico,Rendimiento desaprobatorio en Comunicacion con promedio de 10.75 en el II Bimestre.,Pendiente,8995
6339,Rendimiento Academico,Rendimiento desaprobatorio en Comunicacion con promedio de 10.35 en el II Bimestre.,Pendiente,8954
6340,Rendimiento Academico,Rendimiento desaprobatorio en Comunicacion con promedio de 10.20 en el II Bimestre.,Pendiente,9140
