id,monto,fecha,concepto,comprobante,estudiante_id
116176,350,2024-04-02,Pensión Escolar - Marzo 2024,B001-2024039322,9322
116177,350,2024-05-03,Pensión Escolar - Abril 2024,B001-2024049322,9322
116178,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059322,9322
116179,350,2024-06-28,Pensión Escolar - Junio 2024,B001-2024069322,9322
116180,350,2024-07-23,Pensión Escolar - Julio 2024,B001-2024079322,9322
116181,350,2024-08-26,Pensión Escolar - Agosto 2024,B001-2024089322,9322
116182,350,2024-09-24,Pensión Escolar - Setiembre 2024,B001-2024099322,9322
116183,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024109322,9322
116184,350,2024-11-22,Pensión Escolar - Noviembre 2024,B001-2024119322,9322
116185,350,2024-03-19,Pensión Escolar - Marzo 2024,B001-2024039148,9148
116186,350,2024-04-22,Pensión Escolar - Abril 2024,B001-2024049148,9148
116187,350,2024-05-31,Pensión Escolar - Mayo 2024,B001-2024059148,9148
116188,350,2024-06-25,Pensión Escolar - Junio 2024,B001-2024069148,9148
116189,350,2024-07-26,Pensión Escolar - Julio 2024,B001-2024079148,9148
116190,350,2024-08-21,Pensión Escolar - Agosto 2024,B001-2024089148,9148
116191,350,2024-09-27,Pensión Escolar - Setiembre 2024,B001-2024099148,9148
116192,350,2024-10-28,Pensión Escolar - Octubre 2024,B001-2024109148,9148
116193,350,2024-11-22,Pensión Escolar - Noviembre 2024,B001-2024119148,9148
116194,350,2024-12-26,Pensión Escolar - Diciembre 2024,B001-2024129148,9148
116195,350,2024-03-29,Pensión Escolar - Marzo 2024,B001-2024038991,8991
116196,350,2024-04-29,Pensión Escolar - Abril 2024,B001-2024048991,8991
116197,350,2024-05-23,Pensión Escolar - Mayo 2024,B001-2024058991,8991
116198,350,2024-06-28,Pensión Escolar - Junio 2024,B001-2024068991,8991
116199,350,2024-07-26,Pensión Escolar - Julio 2024,B001-2024078991,8991
116200,350,2024-08-30,Pensión Escolar - Agosto 2024,B001-2024088991,8991
116201,350,2024-10-01,Pensión Escolar - Setiembre 2024,B001-2024098991,8991
116202,350,2024-10-18,Pensión Escolar - Octubre 2024,B001-2024108991,8991
116203,350,2024-11-25,Pensión Escolar - Noviembre 2024,B001-2024118991,8991
116204,350,2025-01-02,Pensión Escolar - Diciembre 2024,B001-2024128991,8991
116205,350,2024-03-26,Pensión Escolar - Marzo 2024,B001-2024038952,8952
116206,350,2024-04-19,Pensión Escolar - Abril 2024,B001-2024048952,8952
