id,periodo,monto,estado,estudiante_id
164275,Marzo 2024,350,Pagado,9322
164276,Abril 2024,350,Pagado,9322
164277,Mayo 2024,350,Pagado,9322
164278,Junio 2024,350,Pagado,9322
164279,Julio 2024,350,Pagado,9322
164280,Agosto 2024,350,Pagado,9322
164281,Setiembre 2024,350,Pagado,9322
164282,Octubre 2024,350,Pagado,9322
164283,Noviembre 2024,350,Pagado,9322
164284,Diciembre 2024,350,Vencido,9322
164285,Marzo 2024,350,Pagado,9148
164286,Abril 2024,350,Pagado,9148
164287,Mayo 2024,350,Pagado,9148
164288,Junio 2024,350,Pagado,9148
164289,Julio 2024,350,Pagado,9148
164290,Agosto 2024,350,Pagado,9148
164291,Setiembre 2024,350,Pagado,9148
164292,Octubre 2024,350,Pagado,9148
164293,Noviembre 2024,350,Pagado,9148
164294,Diciembre 2024,350,Pagado,9148
164295,Marzo 2024,350,Pagado,8991
164296,Abril 2024,350,Pagado,8991
164297,Mayo 2024,350,Pagado,8991
164298,Junio 2024,350,Pagado,8991
164299,Julio 2024,350,Pagado,8991
164300,Agosto 2024,350,Pagado,8991
164301,Setiembre 2024,350,Pagado,8991
164302,Octubre 2024,350,Pagado,8991
164303,Noviembre 2024,350,Pagado,8991
164304,Diciembre 2024,350,Pagado,8991
164305,Marzo 2024,350,Pagado,8952
164306,Abril 2024,350,Pagado,8952
164307,Mayo 2024,350,Pagado,8952
164308,Junio 2024,350,Pagado,8952
164309,Julio 2024,350,Pagado,8952
164310,Agosto 2024,350,Pagado,8952
164311,Setiembre 2024,350,Pagado,8952
164312,Octubre 2024,350,Pagado,8952
164313,Noviembre 2024,350,Pagado,8952
164314,Diciembre 2024,350,Pagado,8952
164315,Marzo 2024,350,Pagado,9280
164316,Abril 2024,350,Pagado,9280
164317,Mayo 2024,350,Pagado,9280
164318,Junio 2024,350,Pagado,9280
164319,Julio 2024,350,Pagado,9280
164320,Agosto 2024,350,Pagado,9280
164321,Setiembre 2024,350,Pagado,9280
164322,Octubre 2024,350,Pagado,9280
164323,Noviembre 2024,350,Pagado,9280
164324,Diciembre 2024,350,Pagado,9280
164325,Marzo 2024,350,Pagado,9034
164326,Abril 2024,350,Pagado,9034
164327,Mayo 2024,350,Pagado,9034
164328,Junio 2024,350,Pagado,9034
164329,Julio 2024,350,Pagado,9034
164330,Agosto 2024,350,Pagado,9034
164331,Setiembre 2024,350,Pagado,9034
164332,Octubre 2024,350,Pagado,9034
164333,Noviembre 2024,350,Pagado,9034
164334,Diciembre 2024,350,Pagado,9034
164335,Marzo 2024,350,Pagado,9279
164336,Abril 2024,350,Pagado,9279
164337,Mayo 2024,350,Pagado,9279
164338,Junio 2024,350,Pagado,9279
164339,Julio 2024,350,Pagado,9279
164340,Agosto 2024,350,Pagado,9279
164341,Setiembre 2024,350,Pagado,9279
164342,Octubre 2024,350,Pagado,9279
164343,Noviembre 2024,350,Pagado,9279
164344,Diciembre 2024,350,Pagado,9279
164345,Marzo 2024,350,Pagado,9123
164346,Abril 2024,350,Pagado,9123
