id,dia,hora_inicio,hora_fin,curso_id,docente_id,seccion_id
3259,Miercoles,08:00:00,09:30:00,135,315,500
3260,Viernes,11:30:00,13:00:00,132,309,500
3261,Jueves,08:00:00,09:30:00,136,317,500
3262,Martes,09:30:00,11:00:00,138,321,500
3263,Martes,08:00:00,09:30:00,133,311,500
3264,Jueves,09:30:00,11:00:00,134,313,500
3265,Lunes,09:30:00,11:00:00,137,319,500
3266,Lunes,08:00:00,09:30:00,139,323,500
3267,Jueves,08:00:00,09:30:00,132,309,501
3268,Martes,09:30:00,11:00:00,139,323,501
3269,Viernes,08:00:00,09:30:00,138,321,501
3270,Viernes,11:30:00,13:00:00,134,313,501
3271,Jueves,09:30:00,11:00:00,133,311,501
3272,Jueves,11:30:00,13:00:00,137,319,501
3273,Martes,08:00:00,09:30:00,136,317,501
3274,Viernes,09:30:00,11:00:00,135,315,501
3275,Lunes,08:00:00,09:30:00,138,321,502
3276,Miercoles,11:30:00,13:00:00,137,319,502
3277,Miercoles,08:00:00,09:30:00,134,313,502
3278,Martes,11:30:00,13:00:00,133,311,502
3279,Viernes,11:30:00,13:00:00,136,317,502
3280,Lunes,09:30:00,11:00:00,132,309,502
3281,Martes,09:30:00,11:00:00,139,324,502
3282,Jueves,11:30:00,13:00:00,135,315,502
3283,Viernes,11:30:00,13:00:00,137,319,503
3284,Viernes,09:30:00,11:00:00,139,323,503
3285,Martes,11:30:00,13:00:00,136,317,503
3286,Jueves,11:30:00,13:00:00,135,316,503
3287,Jueves,08:00:00,09:30:00,134,313,503
3288,Martes,08:00:00,09:30:00,133,312,503
3289,Miercoles,08:00:00,09:30:00,132,309,503
3290,Viernes,08:00:00,09:30:00,138,322,503
3291,Lunes,11:30:00,13:00:00,136,317,504
3292,Martes,11:30:00,13:00:00,134,313,504
3293,Lunes,08:00:00,09:30:00,137,319,504
3294,Miercoles,08:00:00,09:30:00,138,321,504
3295,Martes,09:30:00,11:00:00,135,315,504
3296,Lunes,09:30:00,11:00:00,133,311,504
3297,Jueves,11:30:00,13:00:00,139,323,504
3298,Miercoles,11:30:00,13:00:00,132,309,504
3299,Lunes,09:30:00,11:00:00,137,320,505
3300,Miercoles,09:30:00,11:00:00,139,323,505
3301,Lunes,11:30:00,13:00:00,136,318,505
3302,Martes,11:30:00,13:00:00,132,309,505
3303,Jueves,11:30:00,13:00:00,133,311,505
3304,Lunes,08:00:00,09:30:00,135,315,505
3305,Jueves,09:30:00,11:00:00,138,321,505
3306,Viernes,09:30:00,11:00:00,134,313,505
3307,Martes,09:30:00,11:00:00,138,322,506
3308,Lunes,08:00:00,09:30:00,135,316,506
3309,Lunes,11:30:00,13:00:00,134,313,506
3310,Jueves,09:30:00,11:00:00,137,319,506
3311,Viernes,08:00:00,09:30:00,139,323,506
3312,Lunes,09:30:00,11:00:00,133,312,506
3313,Martes,11:30:00,13:00:00,136,318,506
3314,Jueves,11:30:00,13:00:00,132,309,506
3315,Viernes,08:00:00,09:30:00,137,319,507
3316,Miercoles,11:30:00,13:00:00,139,323,507
3317,Miercoles,08:00:00,09:30:00,135,316,507
3318,Martes,08:00:00,09:30:00,132,309,507
3319,Jueves,11:30:00,13:00:00,136,317,507
3320,Lunes,08:00:00,09:30:00,138,322,507
3321,Jueves,09:30:00,11:00:00,133,312,507
3322,Martes,09:30:00,11:00:00,134,313,507
3323,Jueves,08:00:00,09:30:00,133,311,508
3324,Lunes,11:30:00,13:00:00,134,314,508
3325,Martes,08:00:00,09:30:00,139,323,508
3326,Lunes,08:00:00,09:30:00,132,309,508
3327,Martes,11:30:00,13:00:00,138,321,508
3328,Jueves,11:30:00,13:00:00,137,320,508
3329,Viernes,11:30:00,13:00:00,135,315,508
3330,Viernes,08:00:00,09:30:00,136,317,508
3331,Jueves,08:00:00,09:30:00,134,314,509
3332,Lunes,08:00:00,09:30:00,133,311,509
3333,Miercoles,08:00:00,09:30:00,136,317,509
3334,Martes,11:30:00,13:00:00,135,315,509
3335,Viernes,11:30:00,13:00:00,139,323,509
3336,Miercoles,11:30:00,13:00:00,137,320,509
3337,Viernes,08:00:00,09:30:00,132,309,509
3338,Jueves,11:30:00,13:00:00,138,321,509
3339,Viernes,11:30:00,13:00:00,137,320,510
3340,Miercoles,11:30:00,13:00:00,138,321,510
3341,Lunes,08:00:00,09:30:00,133,312,510
3342,Jueves,09:30:00,11:00:00,135,315,510
3343,Viernes,08:00:00,09:30:00,139,324,510
3344,Viernes,09:30:00,11:00:00,136,317,510
3345,Miercoles,08:00:00,09:30:00,134,314,510
3346,Martes,09:30:00,11:00:00,132,309,510
3347,Lunes,09:30:00,11:00:00,136,317,511
3348,Lunes,08:00:00,09:30:00,137,320,511
3349,Lunes,11:30:00,13:00:00,139,323,511
3350,Miercoles,11:30:00,13:00:00,132,310,511
3351,Viernes,08:00:00,09:30:00,134,313,511
3352,Martes,08:00:00,09:30:00,138,321,511
3353,Jueves,08:00:00,09:30:00,135,315,511
3354,Viernes,09:30:00,11:00:00,133,311,511
3355,Jueves,08:00:00,09:30:00,138,321,512
3356,Martes,08:00:00,09:30:00,134,313,512
3357,Martes,11:30:00,13:00:00,135,316,512
3358,Jueves,11:30:00,13:00:00,133,312,512
3359,Jueves,09:30:00,11:00:00,136,317,512
3360,Miercoles,09:30:00,11:00:00,137,319,512
3361,Miercoles,11:30:00,13:00:00,139,324,512
3362,Lunes,09:30:00,11:00:00,132,310,512
3363,Lunes,08:00:00,09:30:00,136,317,513
3364,Martes,09:30:00,11:00:00,135,316,513
3365,Lunes,11:30:00,13:00:00,137,319,513
3366,Lunes,09:30:00,11:00:00,139,323,513
3367,Jueves,11:30:00,13:00:00,138,322,513
3368,Miercoles,09:30:00,11:00:00,132,309,513
3369,Viernes,08:00:00,09:30:00,133,311,513
3370,Martes,08:00:00,09:30:00,134,314,513
3371,Miercoles,09:30:00,11:00:00,137,320,514
3372,Miercoles,11:30:00,13:00:00,138,322,514
3373,Lunes,08:00:00,09:30:00,132,310,514
3374,Viernes,11:30:00,13:00:00,136,318,514
