id,tipo,peso,curso_id,periodo_id
4919,Tarea / Practica Calificada,0.25,132,187
4920,Examen Parcial,0.35,132,187
4921,Examen Bimestral,0.4,132,187
4922,Tarea / Practica Calificada,0.25,133,187
4923,Examen Parcial,0.35,133,187
4924,Examen Bimestral,0.4,133,187
4925,Tarea / Practica Calificada,0.25,134,187
4926,Examen Parcial,0.35,134,187
4927,Examen Bimestral,0.4,134,187
4928,Tarea / Practica Calificada,0.25,135,187
4929,Examen Parcial,0.35,135,187
4930,Examen Bimestral,0.4,135,187
4931,Tarea / Practica Calificada,0.25,136,187
4932,Examen Parcial,0.35,136,187
4933,Examen Bimestral,0.4,136,187
4934,Tarea / Practica Calificada,0.25,137,187
4935,Examen Parcial,0.35,137,187
4936,Examen Bimestral,0.4,137,187
4937,Tarea / Practica Calificada,0.25,138,187
4938,Examen Parcial,0.35,138,187
4939,Examen Bimestral,0.4,138,187
4940,Tarea / Practica Calificada,0.25,139,187
4941,Examen Parcial,0.35,139,187
4942,Examen Bimestral,0.4,139,187
4943,Tarea / Practica Calificada,0.25,132,188
4944,Examen Parcial,0.35,132,188
4945,Examen Bimestral,0.4,132,188
4946,Tarea / Practica Calificada,0.25,133,188
4947,Examen Parcial,0.35,133,188
4948,Examen Bimestral,0.4,133,188
4949,Tarea / Practica Calificada,0.25,134,188
4950,Examen Parcial,0.35,134,188
4951,Examen Bimestral,0.4,134,188
4952,Tarea / Practica Calificada,0.25,135,188
4953,Examen Parcial,0.35,135,188
4954,Examen Bimestral,0.4,135,188
4955,Tarea / Practica Calificada,0.25,136,188
4956,Examen Parcial,0.35,136,188
4957,Examen Bimestral,0.4,136,188
4958,Tarea / Practica Calificada,0.25,137,188
4959,Examen Parcial,0.35,137,188
4960,Examen Bimestral,0.4,137,188
4961,Tarea / Practica Calificada,0.25,138,188
4962,Examen Parcial,0.35,138,188
4963,Examen Bimestral,0.4,138,188
4964,Tarea / Practica Calificada,0.25,139,188
4965,Examen Parcial,0.35,139,188
4966,Examen Bimestral,0.4,139,188
4967,Tarea / Practica Calificada,0.25,132,189
4968,Examen Parcial,0.35,132,189
4969,Examen Bimestral,0.4,132,189
4970,Tarea / Practica Calificada,0.25,133,189
4971,Examen Parcial,0.35,133,189
4972,Examen Bimestral,0.4,133,189
4973,Tarea / Practica Calificada,0.25,134,189
4974,Examen Parcial,0.35,134,189
4975,Examen Bimestral,0.4,134,189
4976,Tarea / Practica Calificada,0.25,135,189
4977,Examen Parcial,0.35,135,189
4978,Examen Bimestral,0.4,135,189
4979,Tarea / Practica Calificada,0.25,136,189
4980,Examen Parcial,0.35,136,189
4981,Examen Bimestral,0.4,136,189
4982,Tarea / Practica Calificada,0.25,137,189
4983,Examen Parcial,0.35,137,189
4984,Examen Bimestral,0.4,137,189
4985,Tarea / Practica Calificada,0.25,138,189
4986,Examen Parcial,0.35,138,189
4987,Examen Bimestral,0.4,138,189
4988,Tarea / Practica Calificada,0.25,139,189
4989,Examen Parcial,0.35,139,189
4990,Examen Bimestral,0.4,139,189
4991,Tarea / Practica Calificada,0.25,132,190
4992,Examen Parcial,0.35,132,190
4993,Examen Bimestral,0.4,132,190
4994,Tarea / Practica Calificada,0.25,133,190
4995,Examen Parcial,0.35,133,190
4996,Examen Bimestral,0.4,133,190
4997,Tarea / Practica Calificada,0.25,134,190
4998,Examen Parcial,0.35,134,190
4999,Examen Bimestral,0.4,134,190
5000,Tarea / Practica Calificada,0.25,135,190
5001,Examen Parcial,0.35,135,190
5002,Examen Bimestral,0.4,135,190
5003,Tarea / Practica Calificada,0.25,136,190
5004,Examen Parcial,0.35,136,190
5005,Examen Bimestral,0.4,136,190
5006,Tarea / Practica Calificada,0.25,137,190
5007,Examen Parcial,0.35,137,190
5008,Examen Bimestral,0.4,137,190
5009,Tarea / Practica Calificada,0.25,138,190
5010,Examen Parcial,0.35,138,190
5011,Examen Bimestral,0.4,138,190
5012,Tarea / Practica Calificada,0.25,139,190
5013,Examen Parcial,0.35,139,190
5014,Examen Bimestral,0.4,139,190
5015,Tarea / Practica Calificada,0.25,132,191
5016,Examen Parcial,0.35,132,191
5017,Examen Bimestral,0.4,132,191
5018,Tarea / Practica Calificada,0.25,133,191
5019,Examen Parcial,0.35,133,191
5020,Examen Bimestral,0.4,133,191
5021,Tarea / Practica Calificada,0.25,134,191
5022,Examen Parcial,0.35,134,191
5023,Examen Bimestral,0.4,134,191
5024,Tarea / Practica Calificada,0.25,135,191
5025,Examen Parcial,0.35,135,191
5026,Examen Bimestral,0.4,135,191
5027,Tarea / Practica Calificada,0.25,136,191
5028,Examen Parcial,0.35,136,191
5029,Examen Bimestral,0.4,136,191
5030,Tarea / Practica Calificada,0.25,137,191
5031,Examen Parcial,0.35,137,191
5032,Examen Bimestral,0.4,137,191
5033,Tarea / Practica Calificada,0.25,138,191
5034,Examen Parcial,0.35,138,191
5035,Examen Bimestral,0.4,138,191
5036,Tarea / Practica Calificada,0.25,139,191
5037,Examen Parcial,0.35,139,191
5038,Examen Bimestral,0.4,139,191
5039,Tarea / Practica Calificada,0.25,132,192
5040,Examen Parcial,0.35,132,192
5041,Examen Bimestral,0.4,132,192
5042,Tarea / Practica Calificada,0.25,133,192
5043,Examen Parcial,0.35,133,192
5044,Examen Bimestral,0.4,133,192
5045,Tarea / Practica Calificada,0.25,134,192
