id,calificacion,estudiante_id,evaluacion_id
2554852,17,9322,4919
2554853,16,9322,4920
2554854,17,9322,4921
2554855,19,9148,4919
2554856,17,9148,4920
2554857,15,9148,4921
2554858,14,8991,4919
2554859,12,8991,4920
2554860,12,8991,4921
2554861,16,8952,4919
2554862,17,8952,4920
2554863,15,8952,4921
2554864,15,9280,4919
2554865,16,9280,4920
2554866,15,9280,4921
2554867,18,9034,4919
2554868,16,9034,4920
2554869,16,9034,4921
2554870,17,9279,4919
2554871,14,9279,4920
2554872,16,9279,4921
2554873,12,9123,4919
2554874,12,9123,4920
2554875,11,9123,4921
2554876,16,9309,4919
2554877,17,9309,4920
2554878,16,9309,4921
2554879,17,9272,4919
2554880,17,9272,4920
2554881,14,9272,4921
2554882,14,9018,4919
2554883,16,9018,4920
2554884,15,9018,4921
2554885,17,9246,4919
2554886,16,9246,4920
2554887,16,9246,4921
2554888,18,9287,4919
2554889,16,9287,4920
2554890,17,9287,4921
2554891,16,8961,4919
2554892,14,8961,4920
2554893,16,8961,4921
2554894,13,9300,4919
2554895,14,9300,4920
2554896,13,9300,4921
2554897,14,8968,4919
2554898,15,8968,4920
2554899,13,8968,4921
2554900,15,9107,4919
2554901,16,9107,4920
2554902,13,9107,4921
2554903,15,9307,4919
2554904,14,9307,4920
2554905,11,9307,4921
2554906,15,8983,4919
2554907,14,8983,4920
2554908,13,8983,4921
2554909,18,9146,4919
2554910,16,9146,4920
2554911,16,9146,4921
2554912,18,9317,4919
2554913,16,9317,4920
2554914,16,9317,4921
2554915,16,9127,4919
2554916,17,9127,4920
2554917,17,9127,4921
2554918,14,9257,4919
2554919,12,9257,4920
2554920,13,9257,4921
2554921,17,9085,4919
2554922,18,9085,4920
2554923,16,9085,4921
2554924,17,9230,4919
2554925,19,9230,4920
2554926,17,9230,4921
2554927,15,9056,4919
2554928,16,9056,4920
2554929,14,9056,4921
2554930,16,9176,4919
2554931,17,9176,4920
2554932,15,9176,4921
2554933,15,9240,4919
2554934,14,9240,4920
2554935,15,9240,4921
2554936,15,9190,4919
2554937,14,9190,4920
2554938,16,9190,4921
2554939,17,9204,4919
2554940,15,9204,4920
2554941,16,9204,4921
2554942,17,9002,4919
2554943,17,9002,4920
2554944,14,9002,4921
2554945,14,9278,4919
2554946,15,9278,4920
2554947,12,9278,4921
2554948,16,9202,4919
2554949,18,9202,4920
2554950,13,9202,4921
2554951,18,9032,4919
2554952,14,9032,4920
2554953,17,9032,4921
2554954,16,9047,4919
2554955,17,9047,4920
2554956,17,9047,4921
2554957,16,9286,4919
2554958,16,9286,4920
2554959,16,9286,4921
2554960,18,9082,4919
2554961,17,9082,4920
2554962,16,9082,4921
2554963,13,9221,4919
2554964,15,9221,4920
2554965,14,9221,4921
2554966,10,8995,4919
2554967,10,8995,4920
2554968,11,8995,4921
2554969,18,9265,4919
2554970,17,9265,4920
2554971,18,9265,4921
2554972,16,9025,4919
2554973,16,9025,4920
2554974,14,9025,4921
2554975,16,9324,4919
2554976,15,9324,4920
2554977,15,9324,4921
2554978,20,9227,4919
2554979,16,9227,4920
2554980,17,9227,4921
2554981,13,9259,4919
2554982,13,9259,4920
2554983,12,9259,4921
2554984,18,9301,4919
2554985,17,9301,4920
2554986,17,9301,4921
