id,promedio,curso_id,estudiante_id,periodo_id
851617,16.65,132,9322,187
851618,16.7,132,9148,187
851619,12.5,132,8991,187
851620,15.95,132,8952,187
851621,15.35,132,9280,187
851622,16.5,132,9034,187
851623,15.55,132,9279,187
851624,11.6,132,9123,187
851625,16.35,132,9309,187
851626,15.8,132,9272,187
851627,15.1,132,9018,187
851628,16.25,132,9246,187
851629,16.9,132,9287,187
851630,15.3,132,8961,187
851631,13.35,132,9300,187
851632,13.95,132,8968,187
851633,14.55,132,9107,187
851634,13.05,132,9307,187
851635,13.85,132,8983,187
851636,16.5,132,9146,187
851637,16.5,132,9317,187
851638,16.75,132,9127,187
851639,12.9,132,9257,187
851640,16.95,132,9085,187
851641,17.7,132,9230,187
851642,14.95,132,9056,187
851643,15.95,132,9176,187
851644,14.65,132,9240,187
851645,15.05,132,9190,187
851646,15.9,132,9204,187
851647,15.8,132,9002,187
851648,13.55,132,9278,187
851649,15.5,132,9202,187
851650,16.2,132,9032,187
851651,16.75,132,9047,187
851652,16,132,9286,187
851653,16.85,132,9082,187
851654,14.1,132,9221,187
851655,10.4,132,8995,187
851656,17.65,132,9265,187
851657,15.2,132,9025,187
851658,15.25,132,9324,187
851659,17.4,132,9227,187
851660,12.6,132,9259,187
851661,17.25,132,9301,187
851662,17.1,132,8945,187
851663,16.5,132,9197,187
851664,17.25,132,9232,187
851665,11.5,132,9078,187
851666,15.85,132,8946,187
851667,16.4,132,9119,187
851668,14.55,132,9212,187
851669,16.2,132,9248,187
851670,16.6,132,9185,187
851671,16.5,132,9036,187
851672,13.65,132,9000,187
851673,14.15,132,8955,187
851674,16,132,9288,187
851675,14.85,132,9014,187
851676,16.45,132,8999,187
851677,16.15,132,8944,187
851678,16.5,132,9213,187
851679,17.2,132,9105,187
851680,12.15,132,9273,187
851681,9.85,132,9140,187
851682,16,132,9131,187
851683,13.65,132,8984,187
851684,15.1,132,9042,187
851685,14.95,132,9151,187
851686,14.45,132,8976,187
851687,10.5,132,9104,187
851688,15.2,132,9170,187
851689,10.2,132,9141,187
851690,16.95,132,9164,187
851691,15.9,132,9256,187
851692,14.55,132,9144,187
851693,14.9,132,9079,187
851694,14.85,132,9150,187
851695,15.2,132,9274,187
851696,18.35,132,9335,187
851697,14.4,132,9010,187
851698,18,132,9320,187
851699,16.2,132,8943,187
851700,15,132,8992,187
851701,18.1,132,9258,187
851702,15.8,132,9187,187
851703,12.95,132,9063,187
851704,17.85,132,9262,187
851705,14.2,132,9149,187
851706,13.55,132,9050,187
851707,16.25,132,8958,187
851708,14.3,132,9323,187
851709,13.85,132,9087,187
851710,16.5,132,9179,187
851711,14.25,132,9167,187
851712,16.05,132,8963,187
851713,15.2,132,9125,187
851714,16.4,132,9029,187
851715,15.7,132,9015,187
851716,12.35,132,9084,187
851717,10.1,132,9147,187
851718,15.15,132,8948,187
851719,13.9,132,9295,187
851720,15.45,132,9136,187
851721,15.85,132,9339,187
851722,17,132,9171,187
851723,15.85,132,9201,187
851724,15.95,132,9306,187
851725,15.85,132,9249,187
851726,16.85,132,9203,187
851727,16.75,132,8972,187
851728,17.6,132,9020,187
851729,14.8,132,9080,187
851730,15.5,132,9311,187
851731,16.5,132,9154,187
851732,14.2,132,9052,187
851733,15.05,132,9101,187
851734,12.45,132,9205,187
851735,14.1,132,9113,187
851736,17.1,132,9096,187
851737,13.2,132,9021,187
851738,14.2,132,8990,187
851739,12.25,132,8966,187
851740,16.2,132,9200,187
851741,11.3,132,9283,187
851742,15.6,132,9114,187
851743,14.6,132,9245,187
851744,15.8,132,9058,187
851745,14.8,132,9124,187
851746,17,132,9276,187
851747,14.45,132,9077,187
851748,11.9,132,9139,187
851749,12.25,132,9238,187
851750,15.35,132,9057,187
851751,15.2,132,9043,187
851752,15.65,132,9061,187
851753,18.45,132,9338,187
851754,16.35,132,9037,187
851755,13.2,132,9290,187
851756,13,132,9076,187
851757,11.85,132,9189,187
851758,16.6,132,9199,187
851759,18.05,132,9218,187
851760,16.9,132,9074,187
851761,15.25,132,9068,187
851762,14.35,132,8953,187
851763,15.5,132,8989,187
851764,15.45,132,9291,187
851765,11.65,132,9271,187
851766,17.6,132,9277,187
851767,15.6,132,9163,187
851768,14.9,132,9285,187
851769,14.9,132,9224,187
851770,12.15,132,9066,187
851771,14.85,132,9069,187
851772,15.45,132,9160,187
851773,17.55,132,9325,187
851774,15.1,132,9155,187
851775,15.35,132,9214,187
851776,16.5,132,9219,187
851777,11.35,132,8949,187
851778,16,132,9305,187
851779,12.2,132,9194,187
851780,14.85,132,9228,187
851781,12.25,132,9225,187
851782,14.85,132,9299,187
851783,15,132,9092,187
851784,12.2,132,9234,187
851785,15.25,132,9319,187
851786,15.6,132,9130,187
851787,15.2,132,9054,187
851788,14.35,132,9111,187
851789,12.8,132,9268,187
851790,14.95,132,9284,187
851791,13.25,132,8981,187
851792,15.6,132,9156,187
851793,15.25,132,9046,187
851794,13,132,9031,187
851795,16.8,132,9243,187
851796,13.85,132,9241,187
851797,15.65,132,8964,187
851798,12.95,132,9071,187
851799,14.25,132,9019,187
851800,10.3,132,9035,187
851801,17.6,132,9175,187
851802,17,132,9242,187
851803,17.75,132,9121,187
851804,14.65,132,9095,187
851805,15.2,132,9266,187
851806,13.9,132,9006,187
851807,17.6,132,8962,187
851808,11.55,132,9181,187
851809,12.45,132,9231,187
851810,12.95,132,9174,187
851811,15,132,9310,187
851812,13.95,132,9340,187
851813,11.15,132,9226,187
851814,15.85,132,9330,187
851815,15.35,132,8965,187
851816,11.9,132,9004,187
851817,14.15,132,9137,187
851818,10.25,132,9216,187
851819,16,132,9100,187
851820,15.15,132,9223,187
851821,18.25,132,9183,187
851822,13.9,132,9044,187
851823,15,132,9303,187
851824,11.65,132,9038,187
851825,18.6,132,9294,187
851826,17.85,132,9133,187
851827,13.1,132,9008,187
851828,14.65,132,8942,187
851829,10.3,132,8954,187
851830,10.7,132,9067,187
851831,15,132,9099,187
851832,15.6,132,8973,187
851833,15.85,132,9022,187
851834,14.15,132,9112,187
851835,14.95,132,9328,187
851836,13.6,132,9143,187
851837,13.55,132,8993,187
851838,17.85,132,9166,187
851839,11.5,132,9065,187
851840,16.2,132,9333,187
851841,15.1,132,9120,187
851842,15.6,132,8947,187
851843,17.5,132,9215,187
851844,16.4,132,8950,187
851845,15.6,132,9198,187
851846,16.65,132,9045,187
851847,17.35,132,9108,187
851848,15.45,132,9083,187
851849,16.75,132,9336,187
851850,13.1,132,9251,187
851851,10.45,132,9102,187
851852,11.95,132,9267,187
851853,10.2,132,9281,187
851854,11.35,132,9117,187
851855,13.85,132,9013,187
851856,17.95,132,9220,187
851857,16.15,132,9055,187
851858,15.55,132,9115,187
851859,13.9,132,8998,187
851860,13.9,132,8969,187
851861,13.2,132,9027,187
851862,12.75,132,9308,187
851863,15.2,132,9270,187
851864,16.6,132,9138,187
851865,16.45,132,9304,187
851866,15.8,132,8971,187
851867,17.55,132,9134,187
851868,14.65,132,9011,187
851869,17,132,9039,187
851870,11.85,132,9075,187
851871,17.95,132,9072,187
851872,10.45,132,9184,187
851873,16.35,132,9016,187
851874,16.9,132,9041,187
851875,14.7,132,9208,187
851876,14.7,132,9275,187
851877,14.75,132,9239,187
851878,17.25,132,9173,187
851879,17,132,9289,187
851880,15.45,132,9172,187
851881,15.25,132,9110,187
851882,14.3,132,9236,187
851883,10.25,132,9337,187
851884,11.3,132,9165,187
851885,14.5,132,8951,187
851886,15.25,132,9191,187
851887,13.65,132,9282,187
851888,15.95,132,9028,187
851889,16.35,132,8987,187
851890,13.2,132,9168,187
851891,16.1,132,9298,187
851892,15.9,132,9017,187
851893,11.85,132,9062,187
851894,15.85,132,9128,187
851895,15.65,132,9169,187
851896,16,132,8957,187
851897,11.15,132,9059,187
851898,13.25,132,8978,187
851899,14.9,132,9064,187
851900,16.5,132,9196,187
851901,17.25,132,9053,187
851902,15.2,132,9145,187
851903,14.85,132,8997,187
851904,17.6,132,9161,187
851905,14.6,132,9237,187
851906,14.4,132,9153,187
851907,14.75,132,9026,187
851908,16.75,132,9192,187
851909,18.5,132,9132,187
851910,15.95,132,9162,187
851911,17.05,132,8960,187
851912,17.6,132,9177,187
851913,16.2,132,9157,187
851914,14.95,132,9186,187
851915,16.05,132,9086,187
851916,14.15,132,8982,187
851917,15.2,132,9158,187
851918,10.2,132,9049,187
851919,14.4,132,9178,187
851920,15.4,132,9332,187
851921,8.7,132,9030,187
851922,17.15,132,9051,187
851923,13.35,132,8977,187
851924,14.75,132,9012,187
851925,14.7,132,9314,187
851926,15.6,132,9024,187
851927,17.3,132,9093,187
851928,13.15,132,9315,187
851929,13.5,132,9142,187
851930,15.65,132,9217,187
851931,15,132,9126,187
851932,16.05,132,9070,187
851933,18.4,132,9313,187
851934,13.85,132,9180,187
851935,16,132,9005,187
851936,12.1,132,9244,187
851937,14.35,132,9091,187
851938,16.6,132,9327,187
851939,16.05,132,8986,187
851940,14.6,132,9316,187
851941,9.95,132,9116,187
851942,12.85,132,8979,187
851943,17,132,8994,187
851944,15.85,132,9247,187
851945,16.4,132,9206,187
851946,15,132,9118,187
851947,15.8,132,8980,187
851948,16.9,132,9326,187
851949,14.8,132,9312,187
851950,14.15,132,8956,187
851951,13.9,132,9269,187
851952,15.45,132,9261,187
851953,14.65,132,8967,187
851954,16.1,132,9023,187
851955,9.45,132,9097,187
851956,15.95,132,9098,187
851957,17,133,9322,187
851958,17.85,133,9148,187
851959,13.4,133,8991,187
851960,17.05,133,8952,187
851961,15.3,133,9280,187
851962,18.65,133,9034,187
851963,15.45,133,9279,187
851964,12.7,133,9123,187
851965,15,133,9309,187
851966,16.1,133,9272,187
851967,17.25,133,9018,187
851968,17.2,133,9246,187
851969,18.35,133,9287,187
851970,15.9,133,8961,187
851971,14.6,133,9300,187
851972,16.25,133,8968,187
851973,15.35,133,9107,187
851974,15.75,133,9307,187
851975,14.85,133,8983,187
851976,16.6,133,9146,187
851977,19,133,9317,187
851978,17.5,133,9127,187
851979,13.1,133,9257,187
851980,16.6,133,9085,187
851981,18.65,133,9230,187
851982,18.6,133,9056,187
851983,14.9,133,9176,187
851984,15.1,133,9240,187
851985,15.2,133,9190,187
851986,15.85,133,9204,187
851987,16.25,133,9002,187
851988,14.5,133,9278,187
851989,15.55,133,9202,187
851990,16.25,133,9032,187
851991,15.75,133,9047,187
851992,16.95,133,9286,187
851993,17.35,133,9082,187
851994,16,133,9221,187
851995,10.85,133,8995,187
851996,17.65,133,9265,187
851997,16.25,133,9025,187
851998,16.9,133,9324,187
851999,17.25,133,9227,187
852000,13,133,9259,187
852001,17.55,133,9301,187
852002,18.7,133,8945,187
852003,16.6,133,9197,187
852004,17.45,133,9232,187
852005,14.4,133,9078,187
852006,18.2,133,8946,187
852007,16,133,9119,187
852008,15.45,133,9212,187
852009,18.2,133,9248,187
852010,17.5,133,9185,187
852011,16.35,133,9036,187
852012,13.55,133,9000,187
852013,13.35,133,8955,187
852014,16.85,133,9288,187
852015,15.75,133,9014,187
852016,17.45,133,8999,187
852017,18.85,133,8944,187
852018,18.25,133,9213,187
852019,17.85,133,9105,187
852020,12.2,133,9273,187
852021,12.05,133,9140,187
852022,17.6,133,9131,187
852023,15.85,133,8984,187
852024,15.6,133,9042,187
852025,18.1,133,9151,187
852026,15.55,133,8976,187
852027,11.65,133,9104,187
852028,16.35,133,9170,187
852029,12.35,133,9141,187
852030,19,133,9164,187
852031,15.85,133,9256,187
852032,15.85,133,9144,187
852033,16.65,133,9079,187
852034,14.4,133,9150,187
852035,17.1,133,9274,187
852036,18.6,133,9335,187
852037,15.5,133,9010,187
852038,18.65,133,9320,187
852039,18,133,8943,187
852040,16.6,133,8992,187
852041,19.25,133,9258,187
852042,16.9,133,9187,187
852043,14.8,133,9063,187
852044,18.5,133,9262,187
852045,14.2,133,9149,187
852046,15.25,133,9050,187
852047,16.2,133,8958,187
852048,16.65,133,9323,187
852049,15.4,133,9087,187
852050,18.55,133,9179,187
852051,14,133,9167,187
852052,16.1,133,8963,187
852053,17,133,9125,187
852054,17.95,133,9029,187
852055,17.2,133,9015,187
852056,14.3,133,9084,187
852057,13.45,133,9147,187
852058,16.6,133,8948,187
852059,16.65,133,9295,187
852060,16.6,133,9136,187
852061,17.6,133,9339,187
852062,18,133,9171,187
852063,17.85,133,9201,187
852064,17.55,133,9306,187
852065,15.75,133,9249,187
852066,19.25,133,9203,187
852067,17.9,133,8972,187
852068,18.45,133,9020,187
852069,14.6,133,9080,187
852070,17.25,133,9311,187
852071,17.25,133,9154,187
852072,14.45,133,9052,187
852073,16.6,133,9101,187
852074,14,133,9205,187
852075,16.25,133,9113,187
852076,18.65,133,9096,187
852077,15.85,133,9021,187
852078,16.9,133,8990,187
852079,12.8,133,8966,187
852080,17.85,133,9200,187
852081,11.85,133,9283,187
852082,16.2,133,9114,187
852083,15.5,133,9245,187
852084,16.95,133,9058,187
852085,15.85,133,9124,187
852086,16.8,133,9276,187
852087,16.55,133,9077,187
