id,apoderado_id,estudiante_id
8926,8031,8941
8927,8032,8942
8928,8033,8943
8929,8034,8944
8930,8035,8945
8931,8035,8946
8932,8036,8947
8933,8036,8948
8934,8037,8949
8935,8038,8950
8936,8039,8951
8937,8040,8952
8938,8040,8953
8939,8041,8954
8940,8042,8955
8941,8043,8956
8942,8044,8957
8943,8044,8958
8944,8045,8959
8945,8046,8960
8946,8047,8961
8947,8048,8962
8948,8049,8963
8949,8049,8964
8950,8050,8965
8951,8051,8966
8952,8052,8967
8953,8053,8968
8954,8053,8969
8955,8054,8970
8956,8055,8971
8957,8056,8972
8958,8057,8973
8959,8058,8974
8960,8059,8975
8961,8060,8976
8962,8061,8977
8963,8061,8978
8964,8062,8979
8965,8063,8980
8966,8064,8981
8967,8065,8982
8968,8065,8983
8969,8066,8984
8970,8067,8985
8971,8067,8986
8972,8068,8987
8973,8068,8988
8974,8069,8989
8975,8070,8990
8976,8071,8991
8977,8072,8992
8978,8072,8993
8979,8073,8994
8980,8074,8995
8981,8074,8996
8982,8075,8997
8983,8075,8998
8984,8076,8999
8985,8077,9000
8986,8077,9001
8987,8078,9002
8988,8079,9003
8989,8080,9004
8990,8081,9005
8991,8081,9006
8992,8082,9007
8993,8083,9008
8994,8084,9009
8995,8084,9010
8996,8085,9011
8997,8086,9012
8998,8086,9013
8999,8087,9014
9000,8087,9015
9001,8088,9016
9002,8088,9017
9003,8089,9018
9004,8090,9019
9005,8091,9020
9006,8091,9021
9007,8092,9022
9008,8093,9023
9009,8094,9024
9010,8095,9025
9011,8096,9026
9012,8097,9027
9013,8098,9028
9014,8099,9029
9015,8100,9030
9016,8101,9031
9017,8102,9032
9018,8102,9033
9019,8103,9034
9020,8103,9035
9021,8104,9036
9022,8105,9037
9023,8106,9038
9024,8107,9039
9025,8107,9040
9026,8108,9041
9027,8109,9042
9028,8110,9043
9029,8110,9044
9030,8111,9045
9031,8111,9046
9032,8112,9047
9033,8112,9048
9034,8113,9049
9035,8113,9050
9036,8114,9051
9037,8115,9052
9038,8116,9053
9039,8116,9054
9040,8117,9055
9041,8117,9056
9042,8118,9057
9043,8118,9058
9044,8119,9059
9045,8119,9060
9046,8120,9061
9047,8121,9062
9048,8121,9063
9049,8122,9064
9050,8122,9065
9051,8123,9066
9052,8124,9067
9053,8125,9068
9054,8126,9069
9055,8127,9070
9056,8128,9071
9057,8128,9072
9058,8129,9073
9059,8130,9074
9060,8131,9075
9061,8131,9076
9062,8132,9077
9063,8133,9078
9064,8134,9079
9065,8135,9080
9066,8135,9081
9067,8136,9082
9068,8137,9083
9069,8137,9084
9070,8138,9085
9071,8139,9086
9072,8140,9087
9073,8141,9088
9074,8142,9089
9075,8143,9090
9076,8144,9091
9077,8144,9092
9078,8145,9093
9079,8146,9094
9080,8147,9095
9081,8148,9096
9082,8148,9097
9083,8149,9098
9084,8150,9099
9085,8151,9100
9086,8152,9101
9087,8153,9102
9088,8154,9103
9089,8154,9104
9090,8155,9105
9091,8156,9106
9092,8157,9107
9093,8158,9108
9094,8159,9109
9095,8159,9110
9096,8160,9111
9097,8161,9112
9098,8162,9113
9099,8162,9114
9100,8163,9115
9101,8163,9116
9102,8164,9117
9103,8164,9118
9104,8165,9119
9105,8165,9120
9106,8166,9121
9107,8166,9122
9108,8167,9123
9109,8168,9124
9110,8169,9125
9111,8170,9126
9112,8170,9127
9113,8171,9128
9114,8172,9129
9115,8172,9130
9116,8173,9131
9117,8174,9132
9118,8175,9133
9119,8176,9134
9120,8176,9135
9121,8177,9136
9122,8178,9137
9123,8179,9138
9124,8180,9139
9125,8181,9140
9126,8182,9141
9127,8182,9142
9128,8183,9143
9129,8184,9144
9130,8185,9145
9131,8186,9146
9132,8187,9147
9133,8187,9148
9134,8188,9149
9135,8189,9150
9136,8189,9151
9137,8190,9152
9138,8191,9153
9139,8191,9154
9140,8192,9155
9141,8193,9156
9142,8193,9157
9143,8194,9158
9144,8194,9159
9145,8195,9160
9146,8196,9161
9147,8197,9162
9148,8198,9163
9149,8198,9164
9150,8199,9165
9151,8200,9166
9152,8201,9167
9153,8201,9168
9154,8202,9169
9155,8203,9170
9156,8204,9171
9157,8204,9172
9158,8205,9173
9159,8206,9174
9160,8206,9175
9161,8207,9176
9162,8208,9177
9163,8208,9178
9164,8209,9179
9165,8210,9180
9166,8210,9181
9167,8211,9182
9168,8211,9183
9169,8212,9184
9170,8213,9185
9171,8214,9186
9172,8215,9187
9173,8215,9188
9174,8216,9189
9175,8217,9190
9176,8218,9191
9177,8219,9192
9178,8220,9193
9179,8221,9194
9180,8222,9195
9181,8222,9196
9182,8223,9197
9183,8224,9198
9184,8225,9199
9185,8226,9200
9186,8227,9201
9187,8228,9202
9188,8229,9203
9189,8230,9204
9190,8231,9205
9191,8232,9206
9192,8233,9207
9193,8234,9208
9194,8235,9209
9195,8235,9210
9196,8236,9211
9197,8237,9212
9198,8238,9213
9199,8239,9214
9200,8240,9215
9201,8240,9216
9202,8241,9217
9203,8242,9218
9204,8243,9219
9205,8244,9220
9206,8245,9221
9207,8246,9222
9208,8247,9223
9209,8247,9224
9210,8248,9225
9211,8249,9226
9212,8250,9227
9213,8250,9228
9214,8251,9229
9215,8252,9230
9216,8253,9231
9217,8254,9232
9218,8255,9233
9219,8256,9234
9220,8257,9235
9221,8258,9236
9222,8259,9237
9223,8260,9238
9224,8261,9239
9225,8261,9240
9226,8262,9241
9227,8262,9242
9228,8263,9243
9229,8264,9244
9230,8265,9245
9231,8266,9246
9232,8267,9247
9233,8268,9248
9234,8268,9249
9235,8269,9250
9236,8270,9251
9237,8270,9252
9238,8271,9253
9239,8272,9254
9240,8273,9255
9241,8274,9256
9242,8275,9257
9243,8276,9258
9244,8277,9259
9245,8277,9260
9246,8278,9261
9247,8278,9262
9248,8279,9263
9249,8279,9264
9250,8280,9265
9251,8281,9266
9252,8282,9267
9253,8283,9268
9254,8284,9269
9255,8285,9270
9256,8286,9271
9257,8287,9272
9258,8287,9273
9259,8288,9274
9260,8289,9275
9261,8289,9276
9262,8290,9277
9263,8290,9278
9264,8291,9279
9265,8292,9280
9266,8293,9281
9267,8294,9282
9268,8295,9283
9269,8296,9284
9270,8297,9285
9271,8298,9286
9272,8299,9287
9273,8299,9288
9274,8300,9289
9275,8300,9290
9276,8301,9291
9277,8302,9292
9278,8303,9293
9279,8303,9294
9280,8304,9295
9281,8305,9296
9282,8305,9297
9283,8306,9298
9284,8306,9299
9285,8307,9300
9286,8307,9301
9287,8308,9302
9288,8308,9303
9289,8309,9304
9290,8309,9305
9291,8310,9306
9292,8310,9307
9293,8311,9308
9294,8312,9309
9295,8312,9310
9296,8313,9311
9297,8314,9312
9298,8314,9313
9299,8315,9314
9300,8316,9315
9301,8317,9316
9302,8317,9317
9303,8318,9318
9304,8318,9319
9305,8319,9320
9306,8319,9321
9307,8320,9322
9308,8321,9323
9309,8322,9324
9310,8323,9325
9311,8324,9326
9312,8325,9327
9313,8326,9328
9314,8326,9329
9315,8327,9330
9316,8327,9331
9317,8328,9332
9318,8329,9333
9319,8329,9334
9320,8330,9335
9321,8330,9336
9322,8331,9337
9323,8332,9338
9324,8332,9339
9325,8333,9340
