id,motivo,documento,estado,asistencia_id
6625,Viaje urgente programado fuera de la ciudad.,certificado_76439418_20240315.pdf,Rechazado,472565
6626,Cita médica odontológica programada con anterioridad.,certificado_69333404_20240315.pdf,Pendiente,472621
6627,Suspensión de transporte público de su zona.,certificado_70799284_20240315.pdf,Rechazado,472625
6628,Suspensión de transporte público de su zona.,certificado_61946613_20240315.pdf,Aprobado,472682
6629,Cita médica odontológica programada con anterioridad.,certificado_62943446_20240318.pdf,Aprobado,472922
6630,Suspensión de transporte público de su zona.,certificado_67333862_20240318.pdf,Rechazado,472939
6631,Problemas familiares de fuerza mayor.,certificado_72517533_20240318.pdf,Aprobado,472953
6632,Problemas familiares de fuerza mayor.,certificado_62953456_20240318.pdf,Pendiente,472969
6633,Viaje urgente programado fuera de la ciudad.,certificado_72063807_20240318.pdf,Pendiente,473178
6634,Cita médica odontológica programada con anterioridad.,certificado_63419443_20240318.pdf,Pendiente,473198
6635,Problemas de salud del alumno (fiebre y malestar general).,certificado_72076827_20240319.pdf,Pendiente,473359
6636,Suspensión de transporte público de su zona.,certificado_70228023_20240319.pdf,Pendiente,473402
6637,Problemas de salud del alumno (fiebre y malestar general).,certificado_64452366_20240319.pdf,Pendiente,473436
6638,Viaje urgente programado fuera de la ciudad.,certificado_66801907_20240319.pdf,Rechazado,473442
6639,Problemas de salud del alumno (fiebre y malestar general).,certificado_76284037_20240319.pdf,Pendiente,473483
6640,Problemas de salud del alumno (fiebre y malestar general).,certificado_68974884_20240319.pdf,Rechazado,473556
6641,Problemas familiares de fuerza mayor.,certificado_70799284_20240320.pdf,Aprobado,473645
6642,Viaje urgente programado fuera de la ciudad.,certificado_63627386_20240320.pdf,Aprobado,473647
6643,Problemas familiares de fuerza mayor.,certificado_65966404_20240320.pdf,Aprobado,473691
6644,Suspensión de transporte público de su zona.,certificado_64489228_20240320.pdf,Aprobado,473801
6645,Problemas familiares de fuerza mayor.,certificado_61970720_20240320.pdf,Rechazado,473804
6646,Problemas familiares de fuerza mayor.,certificado_67427309_20240321.pdf,Aprobado,474119
6647,Suspensión de transporte público de su zona.,certificado_64768161_20240321.pdf,Rechazado,474193
6648,Suspensión de transporte público de su zona.,certificado_77575995_20240321.pdf,Rechazado,474225
6649,Cita médica odontológica programada con anterioridad.,certificado_70246852_20240322.pdf,Aprobado,474259
6650,Viaje urgente programado fuera de la ciudad.,certificado_64987295_20240322.pdf,Pendiente,474285
6651,Viaje urgente programado fuera de la ciudad.,certificado_62953456_20240322.pdf,Pendiente,474329
6652,Cita médica odontológica programada con anterioridad.,certificado_73402770_20240322.pdf,Rechazado,474416
6653,Viaje urgente programado fuera de la ciudad.,certificado_70874022_20240322.pdf,Rechazado,474419
6654,Cita médica odontológica programada con anterioridad.,certificado_66173771_20240322.pdf,Aprobado,474448
6655,Suspensión de transporte público de su zona.,certificado_61630307_20240325.pdf,Pendiente,474604
6656,Problemas de salud del alumno (fiebre y malestar general).,certificado_66527182_20240325.pdf,Pendiente,474634
6657,Cita médica odontológica programada con anterioridad.,certificado_75153503_20240325.pdf,Aprobado,474638
6658,Cita médica odontológica programada con anterioridad.,certificado_60022680_20240325.pdf,Aprobado,474677
6659,Problemas de salud del alumno (fiebre y malestar general).,certificado_68809983_20240325.pdf,Pendiente,474699
6660,Viaje urgente programado fuera de la ciudad.,certificado_71091846_20240325.pdf,Aprobado,474747
6661,Cita médica odontológica programada con anterioridad.,certificado_70665578_20240325.pdf,Pendiente,474864
6662,Suspensión de transporte público de su zona.,certificado_73957073_20240326.pdf,Aprobado,474943
6663,Problemas de salud del alumno (fiebre y malestar general).,certificado_62953456_20240326.pdf,Aprobado,475009
6664,Viaje urgente programado fuera de la ciudad.,certificado_79413063_20240326.pdf,Rechazado,475014
6665,Viaje urgente programado fuera de la ciudad.,certificado_69515804_20240326.pdf,Aprobado,475147
6666,Viaje urgente programado fuera de la ciudad.,certificado_78853731_20240326.pdf,Aprobado,475237
6667,Problemas familiares de fuerza mayor.,certificado_72861964_20240326.pdf,Pendiente,475261
6668,Problemas familiares de fuerza mayor.,certificado_64435062_20240327.pdf,Rechazado,475335
6669,Problemas familiares de fuerza mayor.,certificado_75363251_20240327.pdf,Aprobado,475398
6670,Viaje urgente programado fuera de la ciudad.,certificado_70874022_20240327.pdf,Pendiente,475439
6671,Problemas de salud del alumno (fiebre y malestar general).,certificado_60617016_20240327.pdf,Aprobado,475525
6672,Problemas familiares de fuerza mayor.,certificado_72209302_20240327.pdf,Aprobado,475546
6673,Problemas familiares de fuerza mayor.,certificado_65506837_20240327.pdf,Aprobado,475552
6674,Problemas de salud del alumno (fiebre y malestar general).,certificado_63565618_20240327.pdf,Aprobado,475591
6675,Viaje urgente programado fuera de la ciudad.,certificado_61829992_20240328.pdf,Rechazado,475661
6676,Suspensión de transporte público de su zona.,certificado_76977124_20240328.pdf,Pendiente,475680
6677,Problemas familiares de fuerza mayor.,certificado_67394803_20240328.pdf,Pendiente,475781
6678,Cita médica odontológica programada con anterioridad.,certificado_74011595_20240328.pdf,Rechazado,475842
6679,Suspensión de transporte público de su zona.,certificado_72627498_20240328.pdf,Pendiente,475900
6680,Viaje urgente programado fuera de la ciudad.,certificado_76799287_20240328.pdf,Pendiente,475938
6681,Problemas de salud del alumno (fiebre y malestar general).,certificado_71091846_20240329.pdf,Rechazado,476107
6682,Problemas familiares de fuerza mayor.,certificado_77659525_20240329.pdf,Aprobado,476110
6683,Viaje urgente programado fuera de la ciudad.,certificado_63861620_20240401.pdf,Rechazado,476363
6684,Suspensión de transporte público de su zona.,certificado_62953456_20240401.pdf,Pendiente,476369
6685,Suspensión de transporte público de su zona.,certificado_66624235_20240401.pdf,Pendiente,476501
6686,Cita médica odontológica programada con anterioridad.,certificado_68455673_20240401.pdf,Pendiente,476531
6687,Suspensión de transporte público de su zona.,certificado_73119533_20240401.pdf,Aprobado,476599
6688,Problemas familiares de fuerza mayor.,certificado_74864763_20240401.pdf,Aprobado,476620
6689,Cita médica odontológica programada con anterioridad.,certificado_64987295_20240402.pdf,Rechazado,476665
6690,Suspensión de transporte público de su zona.,certificado_70799284_20240402.pdf,Pendiente,476705
6691,Suspensión de transporte público de su zona.,certificado_61899341_20240402.pdf,Aprobado,476812
6692,Problemas de salud del alumno (fiebre y malestar general).,certificado_73047163_20240402.pdf,Rechazado,476909
6693,Cita médica odontológica programada con anterioridad.,certificado_61486350_20240402.pdf,Rechazado,476962
6694,Problemas de salud del alumno (fiebre y malestar general).,certificado_62826917_20240403.pdf,Pendiente,477159
6695,Viaje urgente programado fuera de la ciudad.,certificado_66173771_20240403.pdf,Pendiente,477168
6696,Suspensión de transporte público de su zona.,certificado_64051252_20240403.pdf,Pendiente,477206
6697,Viaje urgente programado fuera de la ciudad.,certificado_79126954_20240403.pdf,Rechazado,477213
6698,Problemas familiares de fuerza mayor.,certificado_70665578_20240403.pdf,Pendiente,477244
6699,Suspensión de transporte público de su zona.,certificado_64241673_20240404.pdf,Pendiente,477369
6700,Problemas familiares de fuerza mayor.,certificado_73002035_20240404.pdf,Aprobado,477395
6701,Viaje urgente programado fuera de la ciudad.,certificado_65265608_20240404.pdf,Aprobado,477448
6702,Cita médica odontológica programada con anterioridad.,certificado_67756452_20240404.pdf,Aprobado,477486
